timestamp,company,storage_type,storage_location,address_region,culture_ua,price,category_name
2025-12-29 13:03:13,Нібулон,Порт,Миколаївський термінал - Нібулон,"Николаевская, Николаевский",Пшениця 3 клас,9 750,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Порт,Транссервіс 2008,"Одесская, Овидиопольский",Пшениця 3 клас,10 250,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Порт,Кременчуцький термінал - Нібулон,"Полтавская, Кременчугский",Пшениця 3 клас,8 900,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Порт,Вітовський елеватор - Нібулон,"Черкасская, Чигиринский",Пшениця 3 клас,9 000,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Елеватор,Тетерівський елеватор,"Житомирская, Чудновский",Пшениця 3 клас,8 850,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Елеватор,Тернівський термінал - Нібулон,"Запорожская, Вольнянский",Пшениця 3 клас,8 850,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Елеватор,Переяславська філія - Нібулон,"Киевская, Переяслав-Хмельницкий",Пшениця 3 клас,8 750,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Елеватор,Деніхівський елеватор,"Киевская, Тетиевский",Пшениця 3 клас,9 000,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Елеватор,Вознесенська філія - Нібулон,"Николаевская, Вознесенский",Пшениця 3 клас,9 650,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Елеватор,Врадіївський агрокомбінат,"Николаевская, Врадиевский",Пшениця 3 клас,9 600,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Елеватор,Новоодеська філія Нібулон,"Николаевская, Новоодесский",Пшениця 3 клас,9 700,Wheat 3rd grade
2025-12-29 13:03:13,Нібулон,Елеватор,Глобинський філіал - Нібулон,"Полтавская, Глобинский",Пшениця 3 клас,8 900,Wheat 3rd grade
