Підприємство,Адреса/Регіон,Пшениця 3 клас,Пшениця,Ячмінь,Кукурудза,Соя,Пшениця некондиція,10 250,"Николаевский терминал - НибулонНиколаевская, Николаевский",9 850,"Витовский элеватор - НибулонЧеркасская, Чигиринский",9 100,"Кременчугский терминал - НибулонПолтавская, Кременчугский",8 950,9 800,"Вознесенский филиал - НибулонНиколаевская, Вознесенский",9 750,"Врадиевский агрокомбинатНиколаевская, Врадиевский",9 700,"Дениховский элеваторКиевская, Тетиевский","Градижск филиал - НибулонПолтавская, Кременчугский","Глобинский филиал - НибулонПолтавская, Глобинский","Терновский терминал - НибулонЗапорожская, Вольнянский","Тетеревский элеваторЖитомирская, Чудновский",8 900,"Золотоношский филиал - НибулонЧеркасская, Золотоношский",8 850,"Скороходовский филиалПолтавская, Чутовский","Филиал Ромодан НибулонаПолтавская, Миргородский",8 800,"Решетиловский элеваторПолтавская, Кобеляцкий","Марьяновский элеваторПолтавская, Гребенковський","Переяславский филиал - НибулонКиевская, Переяслав-Хмельницкий","Смотрич Филиал - НибулонХмельницкая, Камянец-Подольский",8 750,"Зберігання, т","Площа, га",E-Mail
"Миколаївський термінал - НібулонНиколаевская, Николаевский",9 850,9 750,9 350,10 100,9 350,17 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Транссервіс 2008Одесская, Овидиопольский",10 250,10 150,9 800,,9 700,18 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Кременчуцький термінал - НібулонПолтавская, Кременчугский",8 950,8 850,8 550,,8 350,17 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Вітовський елеватор - НібулонЧеркасская, Чигиринский",9 100,9 000,8 650,,8 550,17 800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Хмільник елеваторВинницкая, Хмельницкий",,,,,8 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Тетерівський елеваторЖитомирская, Чудновский",8 900,8 800,8 500,,8 250,,8 400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Тернівський термінал - НібулонЗапорожская, Вольнянский",8 950,8 850,8 450,9 100,8 500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Переяславська філія - НібулонКиевская, Переяслав-Хмельницкий",8 800,8 700,8 350,,8 250,17 600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Деніхівський елеваторКиевская, Тетиевский",9 100,9 000,,,8 550,17 500,8 450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Вознесенська філія - НібулонНиколаевская, Вознесенский",9 750,9 650,9 250,10 000,9 300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Врадіївський агрокомбінатНиколаевская, Врадиевский",9 700,9 600,9 200,9 950,9 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Новоодеська філія НібулонНиколаевская, Новоодесский",9 800,9 700,9 300,10 050,9 350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Глобинський філіал - НібулонПолтавская, Глобинский",8 950,8 850,8 550,,8 350,17 900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Мар'янівський елеваторПолтавская, Гребенковський",8 800,8 700,8 350,,8 230,17 650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
