Час збору,Компанія,Тип зберігання,Місце зберігання,Адреса/Регіон,Пшениця 3 клас,Пшениця,Ячмінь,Кукурудза,Соя,Пшениця некондиція,Соняшник,Соняшник високоолеїновий,Гречка,Ріпак без ГМО,Пшениця 4 клас,Пшениця 2 клас
2025-12-26 17:30:27,Нібулон,Порт,Миколаївський термінал - Нібулон,"Николаевская, Николаевский",9 850,9 750,9 350,10 100,9 350,,,,,,,
2025-12-26 17:30:27,Нібулон,Порт,Транссервіс 2008,"Одесская, Овидиопольский",10 250,10 150,9 800,,9 700,,,,,,,
2025-12-26 17:30:27,Нібулон,Порт,Кременчуцький термінал - Нібулон,"Полтавская, Кременчугский",8 950,8 850,8 550,,8 350,,,,,,,
2025-12-26 17:30:27,Нібулон,Порт,Вітовський елеватор - Нібулон,"Черкасская, Чигиринский",9 100,9 000,8 650,,8 550,,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Хмільник елеватор,"Винницкая, Хмельницкий",,,,,8 300,,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Тетерівський елеватор,"Житомирская, Чудновский",8 900,8 800,8 500,,8 250,,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Тернівський термінал - Нібулон,"Запорожская, Вольнянский",8 950,8 850,8 450,9 100,8 500,,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Переяславська філія - Нібулон,"Киевская, Переяслав-Хмельницкий",8 800,8 700,8 350,,8 250,17 600,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Деніхівський елеватор,"Киевская, Тетиевский",9 100,9 000,,,8 550,17 500,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Вознесенська філія - Нібулон,"Николаевская, Вознесенский",9 750,9 650,9 250,10 000,9 300,,,,,,,
2025-12-26 17:30:27,Нібулон,Елеватор,Врадіївський агрокомбінат,"Николаевская, Врадиевский",9 700,9 600,9 200,9 950,9 200,,,,,,,
