Час збору,Компанія,Тип зберігання,URL,Місце зберігання,Адреса/Регіон,Пшениця 3 клас,Пшениця,Ячмінь,Кукурудза,Соя,Пшениця некондиція,Соняшник,Пшениця 2 клас,Соняшник високоолеїновий
2025-12-26 16:51:13,Нібулон,Порт,https://tripoli.land/ua/elevators/nibulon-terminal-nikolaev,Миколаївський термінал - Нібулон,"Николаевская, Николаевский",9 850,9 750,9 350,10 100,9 350,,,,
2025-12-26 16:51:13,Нібулон,Порт,https://tripoli.land/ua/elevators/ramburs-molodyozhnoe-transservis-2008,Транссервіс 2008,"Одесская, Овидиопольский",10 250,10 150,9 800,,9 700,,,,
2025-12-26 16:51:13,Нібулон,Порт,https://tripoli.land/ua/elevators/nibulon-sp-tov-filiya-kremenchutska,Кременчуцький термінал - Нібулон,"Полтавская, Кременчугский",8 950,8 850,8 550,,8 350,,,,
2025-12-26 16:51:13,Нібулон,Порт,https://tripoli.land/ua/elevators/nibulon-sp-tov-filiya-vitove,Вітовський елеватор - Нібулон,"Черкасская, Чигиринский",9 100,9 000,8 650,,8 550,,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/nibulon-sp-tov-filiya-hmilnik,Хмільник елеватор,"Винницкая, Хмельницкий",,,,,8 300,,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/nibulon-sp-tov-filiya-teteriv,Тетерівський елеватор,"Житомирская, Чудновский",8 900,8 800,8 500,,8 250,,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/ternovskiy-terminal-nibulon,Тернівський термінал - Нібулон,"Запорожская, Вольнянский",8 950,8 850,8 450,9 100,8 500,,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/nibulon-sp-tov-filiya-pereyaslavska,Переяславська філія - Нібулон,"Киевская, Переяслав-Хмельницкий",8 800,8 700,8 350,,8 250,17 600,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/nibulon-sp-tov-filiya-denihivka,Деніхівський елеватор,"Киевская, Тетиевский",9 100,9 000,,,8 550,17 500,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/nikolaevskaya-oblast-voznesensk,Вознесенська філія - Нібулон,"Николаевская, Вознесенский",9 750,9 650,9 250,10 000,9 300,,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/vradiyivskiy-agrokombinat-tov,Врадіївський агрокомбінат,"Николаевская, Врадиевский",9 700,9 600,9 200,9 950,9 200,,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/nibulon-sp-tov-novoodeska-filiya,Новоодеська філія Нібулон,"Николаевская, Новоодесский",9 800,9 700,9 300,10 050,9 350,,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/nibulon-sp-tov-filiya-globinska,Глобинський філіал - Нібулон,"Полтавская, Глобинский",8 950,8 850,8 550,,8 350,17 900,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/nibulon-sp-tov-filiya-mar-yanivska,Мар'янівський елеватор,"Полтавская, Гребенковський",8 800,8 700,8 350,,8 230,17 650,,,
2025-12-26 16:51:13,Нібулон,Елеватор,https://tripoli.land/ua/elevators/nibulon-sp-tov-filiya-reshetilivska,Решетилівський елеватор,"Полтавская, Кобеляцкий",8 800,8 700,8 350,,8 230,,,,
